State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Unemployment
Alabama,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1,0,24974,7.6
Alabama,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0,27317,7.5
Alabama,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0,16824,17.6
Alabama,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0,18431,8.3
Alabama,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0,20532,7.7
Alabama,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0,17580,18
Alabama,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0,18390,10.9
Alabama,Calhoun,116648,56274,60374,3.5,73,20.3,0.2,0.9,0,21374,12.3
Alabama,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0,21071,8.9
Alabama,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0,21811,7.9
Alabama,Chilton,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0,21399,9.1
Alabama,Choctaw,13395,6382,7013,0.4,55.9,42.9,0,0,0,20755,13.6
Alabama,Clarke,25070,11834,13236,0.3,53.4,45.3,0,0.4,0.4,20064,19.4
Alabama,Clay,13537,6671,6866,3.2,79.9,14.4,0.7,0,0,18905,9.4
Alabama,Cleburne,15002,7334,7668,2.3,92.5,2.9,0.2,0.4,0,20151,8.3
Alabama,Coffee,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0,24936,7.1
Alabama,Colbert,54444,26303,28141,2.4,78.9,15.6,0.6,0.3,0.1,22546,9
Alabama,Conecuh,12865,6176,6689,1.6,51,44.7,0.3,0,0,15968,22.6
Alabama,Coosa,11027,5579,5448,2.1,65.2,30.7,0.1,0,0,17519,17
Alabama,Covington,37886,18339,19547,1.5,83.3,13,0.5,0.3,0.1,20977,11.2
Alabama,Crenshaw,13938,6863,7075,1.7,70.5,23.5,0.8,1.8,0,20585,9.7
Alabama,Cullman,80965,40081,40884,4.3,92.2,1.1,0.4,0.6,0,20881,7.3
