STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	4041	ALAMEDA CO OFFICE OF ED	2013	50113	4650	15192	30271	43242	14096	27582	1478	86
California	2	ALPINE COUNTY SPECIAL SCHOOLS	2013	1463	302	788	373	1381	133	586	86	7
California	300	AMADOR CO SPL SCHS OPER BY CO SUPT	2013	10813	1211	6049	3553	9914	5366	3736	418	231
California	1060	BUTTE CO SPL SCHS OPER BY CO SUPT	2013	63918	27769	20704	15445	66483	15692	36339	1329	1772
California	588	CALAVERAS CO SPL SCHS OPER BY CO SUPT	2013	11750	1927	7995	1828	13822	5454	5846	679	9
California	28	COLUSA COUNTY OFFICE OF EDUCATION	2013	12547	3854	5405	3288	21834	5378	4984	1566	9806
California	3297	CONTRA COSTA CO SPL SCHS OPER BY CO SUPT	2013	65418	4404	27964	33050	67475	28900	27548	7683	3068
California	0	CONTRA COSTA CO ROP	2013	56140	14626	41481	33	54858	0	1498	0	0
California	602	DEL NORTE CO SPL SCHS OPER BY CO SUPT	2013	7427	1520	5762	145	7370	5013	1750	2	0
California	980	EL DORADO CO SPL SCHS OPER BY CO SUPT	2013	94912	20219	59727	14966	94674	18392	19525	2852	312
California	2094	OFFICE OF EDUC SPL SCHS OPER BY CO SUPT	2013	166112	39363	93174	33575	168683	57292	56969	2174	7261
California	372	GLENN CO SPL SCHS OPER BY CO SUPT	2013	20049	5128	10366	4555	20915	6623	7486	4860	184
California	467	HUMBOLDT CO SPL SCH OPER BY CO SUPT	2013	38866	7285	21786	9795	37906	10354	14284	112	945
California	540	IMPERIAL CO SPL SCHS OPER BY CO SUPT	2013	72933	20097	38931	13905	71684	14985	28224	5385	252
California	1657	INYO CO SPL SCHS OPER BY CO SUPT	2013	22727	2286	15600	4841	22282	8795	9532	1605	191
California	4552	KERN CO SPL SCHS OPER BY CO SUPT	2013	253784	54013	113179	86592	242694	44899	90259	36557	2167
California	428	KINGS CO SPL SCHS OPER BY CO SUPT	2013	44969	10775	21965	12229	43456	6660	18299	836	3036
California	67	LAKE COUNTY OFFICE OF EDUCATION	2013	16953	3937	8500	4516	16583	3145	6417	836	427
California	41	LASSEN CO SPL SCHS OPER BY CO SUPT	2013	11449	2586	7007	1856	11278	4314	4410	1143	167
California	9136	LOS ANGELES CO OFF OF EDUCATION	2013	770658	327007	240163	203488	783374	277902	320541	23108	20800
California	962	MADERA CO SPL SCHS OPER BY CO SUPT	2013	45950	12361	21753	11836	48904	13455	16688	2473	6521
California	374	MARIN CO SPECIAL SCHOOLS	2013	56566	8718	8889	38959	57529	12787	16254	3451	2069
California	0	MARIN COUNTY ROP	2013	2525	0	999	1526	2523	0	2523	0	0
